theta,beta_lower,beta_upper
0.000000,11.536959,90.000000
1.000000,12.178534,89.749952
2.000000,12.853229,89.499611
3.000000,13.560821,89.248685
4.000000,14.300857,88.996875
5.000000,15.072683,88.743880
6.000000,15.875476,88.489390
7.000000,16.708280,88.233084
8.000000,17.570043,87.974632
9.000000,18.459662,87.713688
10.000000,19.376011,87.449892
11.000000,20.317978,87.182862
12.000000,21.284493,86.912193
13.000000,22.274550,86.637456
14.000000,23.287229,86.358187
15.000000,24.321708,86.073891
16.000000,25.377280,85.784028
17.000000,26.453364,85.488011
18.000000,27.549509,85.185195
19.000000,28.665411,84.874872
20.000000,29.800916,84.556255
21.000000,30.956034,84.228465
22.000000,32.130952,83.890516
23.000000,33.326053,83.541291
24.000000,34.541933,83.179519
25.000000,35.779435,82.803738
26.000000,37.039688,82.412251
27.000000,38.324156,82.003075
28.000000,39.634714,81.573857
29.000000,40.973742,81.121782
30.000000,42.344265,80.643424
31.000000,43.750148,80.134549
32.000000,45.196388,79.589823
33.000000,46.689552,79.002371
34.000000,48.238476,78.363071
35.000000,49.855429,77.659391
36.000000,51.558191,76.873311
37.000000,53.374109,75.977262
38.000000,55.349034,74.925185
39.000000,57.571138,73.628722
40.000000,60.259269,71.868846
41.000000,64.655148,68.403676
